key_type,key,smiles
cas,1728-46-7,
cas,67801-64-3,
cas,40702-13-4,
cas,121-00-6,
cas,28069-72-9,
cas,67674-37-7,
cas,67674-47-9,
cas,2463-77-6 / 53448-07-0,
cas,22629-48-7,
cas,37617-03-1,
cas,1449076-27-0,
cas,707-29-9,
cas,619-05-6,
cas,2029-94-9,
cas,6939-35-1,
cas,51015-29-3,
cas,22009-37-6,
cas,51015-28-2,
cas,99-50-3,
cas,13494-06-9,
cas,14268-66-7,
cas,533-31-3,
cas,67634-07-5,
cas,67801-32-5,
cas,65416-17-3,
cas,4179-19-5,
cas,66848-40-6,
cas,68039-48-5,
cas,67634-25-7,
cas,67634-16-6,
cas,68213-86-5,
cas,67801-65-4,
cas,151-19-9,
cas,60763-42-0,
cas,85136-10-3,
cas,76649-25-7,
cas,55722-59-3,
cas,18479-54-4,
cas,40188-41-8,
cas,623-30-3,
cas,67634-14-4,
cas,6658-48-6,
cas,61693-42-3,
cas,61693-43-4,
cas,6994-64-5,
cas,3687-18-1,
cas,15087-24-8,
cas,3240-29-7,
cas,67663-03-0,
cas,13466-78-9,
cas,51100-54-0,
cas,68083-57-8,
cas,73263-36-2,
cas,67583-77-1,
cas,64165-57-7,
cas,13360-65-1,
cas,42348-12-9,
cas,71850-80-1,
cas,34687-43-9,
cas,68239-79-2,
cas,13494-08-1,
cas,54491-17-7,
cas,620-17-7,
cas,536-78-7,
cas,589-82-2,
cas,67801-45-0,
cas,4440-65-7,
cas,928-96-1,
cas,10094-41-4,
cas,1708-82-3,
cas,2328127-51-9 (free base),
cas,1115-20-4,
cas,99-06-9,
cas,125495-90-1,
cas,625-72-9,
cas,763-32-6,
cas,72928-35-9,
cas,5205-07-2,
cas,54410-94-5,
cas,1120360-38-4,
cas,2517-43-3,
cas,68039-40-7,
cas,68039-41-8,
cas,5340-36-3,
cas,66008-65-9,
cas,67801-29-0,
cas,67801-31-4,
cas,71820-51-4,
cas,65113-95-3,
cas,67801-20-1,
cas,93893-89-1,
cas,54089-83-7,
cas,3720-16-9,
cas,39212-23-2,
cas,59820-63-2,
cas,62151-56-8,
cas,85351-07-1,
cas,53153-66-5,
cas,565-62-8,
cas,589-35-5,
cas,53082-58-9,
cas,50982-74-6,
cas,2042-14-0,
cas,65235-31-6,
cas,88306-70-1,
cas,86404-04-8,
cas,589-98-0,
cas,4864-61-3,
cas,7775-00-0,
cas,16251-77-7,
cas,24168-70-5,
cas,31846-06-7,
cas,959-23-9,
cas,537-65-5,
cas,6369-04-6,
cas,80-05-7,
cas,25068-38-6,
cas,163183-00-4,
cas,21616-59-1,
cas,94082-85-6,
cas,675-09-2,
cas,85136-05-6,
cas,2550-11-0,
cas,71077-31-1,
cas,2835-95-2,
cas,183293-62-1,
cas,117907-43-4,
cas,119-34-6,
cas,924-49-2,
cas,610-81-1,
cas,2835-99-6,
cas,57246-60-3,
cas,18979-61-8,
cas,95-85-2,
cas,95-88-5,
cas,128489-02-1,
cas,13720-12-2,
cas,5862-77-1,
cas,6219-69-8 / 68015-98-5,
cas,10031-82-0,
cas,90411-73-7,
cas,134123-93-6,
cas,68188-98-7,
cas,937-30-4,
cas,4748-78-1,
cas,2785-89-9,
cas,72928-47-3,
cas,16493-80-4,
cas,123-07-9,
cas,2896-60-8,
cas,173994-76-8 / 217311-43-8,
cas,223398-02-5,
cas,20665-85-4,
cas,1206193-05-6,
cas,99-96-7,
cas,2478-10-6,
cas,2380-94-1,
cas,92952-81-3,
cas,18979-62-9,
cas,56496-88-9,
cas,57094-40-3,
cas,68228-06-8,
cas,7779-78-4,
cas,26643-91-4,
cas,67634-23-5,
cas,81782-77-6,
cas,7403-42-1,
cas,50542-90-0,
cas,104-87-0,
cas,173994-77-9,
cas,36861-47-9 / 38102-62-4,
cas,24237-02-3,
cas,141-79-7,
cas,108-11-2,
cas,7493-58-5,
cas,491-35-0,
cas,15111-96-3,
cas,5131-58-8,
cas,99-56-9,
cas,6219-77-8,
cas,68239-82-7,
cas,3251-56-7,
cas,27080-42-8,
cas,2002-02-0,
cas,179005-03-9,
cas,2057-49-0,
cas,939-97-9,
cas,98-73-7,
cas,98-52-2/21862-63-5,
cas,562-74-3,
cas,20691-52-5,
cas,98-53-3,
cas,32210-23-4,
cas,18127-01-0,
cas,98-51-1,
cas,546-79-2,
cas,70-55-3,
cas,3407-42-9,
cas,19550-54-0,
cas,104333-03-1,
cas,110102-86-8,
cas,110102-85-7,
cas,163183-01-5,
cas,84540-50-1,
cas,30007-47-7,
cas,37609-25-9,
cas,67633-92-5,
cas,698-10-2,
cas,27538-09-6,
cas,73347-77-0,
cas,109-49-9,
cas,3934-87-0,
cas,6379-73-3,
cas,672-76-4,
cas,13380-89-7,
cas,64001-15-6,
cas,3209-13-0,
cas,139539-66-5,
cas,81925-81-7,
cas,21834-92-4,
cas,4927-36-0,
cas,79-69-6,
cas,79-70-9,
cas,591-12-8,
cas,27039-84-5,
cas,60405-50-7,
cas,35151-11-2,
cas,28897-20-3,
cas,18479-49-7,
cas,70214-77-6,
cas,39549-31-0,
cas,2835-98-5,
cas,17672-22-9,
cas,60-32-2,
cas,67633-93-6,
cas,26330-64-3,
cas,69486-14-2,
cas,93939-86-7,
cas,2380-86-1,
cas,68141-26-4,
cas,94166-62-8,
cas,62439-41-2,
cas,90817-34-8 / 83732-72-3 (2HCl),
cas,92-48-8,
cas,1335-09-7 / 1569-60-4,
cas,110-93-0,
cas,91-62-3,
cas,69825-83-8,
cas,570-24-1,
cas,65442-31-1,
cas,1888767-40-5,
cas,434-16-2,
cas,7747-35-5,
cas,68909-04-6,
cas,68908-82-7,
cas,68311-05-7,
cas,94087-23-7,
cas,53767-86-5,
cas,68412-04-4,
cas,90480-40-3,
cas,92908-29-7,
cas,55050-40-3,
cas,13567-39-0,
cas,3100-36-5,
cas,84681-92-5,
cas,75187-63-2,
cas,67845-30-1,
cas,68901-32-6,
cas,55915-70-3,
cas,68039-24-7,
cas,67634-06-4,
cas,58296-81-4,
cas,39770-05-3,
cas,50816-18-7,
cas,68480-06-8,
cas,143-14-6,
cas,532-87-6,
cas,80-26-2,
cas,90028-76-5,
cas,8007-47-4,
cas,85085-34-3,
cas,2446786-09-8 (generic),
cas,92128-34-2,
cas,91697-89-1,
cas,514-10-3,
cas,666-84-2,
cas,90320-07-3,
cas,93164-88-6,
cas,8001-76-1,
cas,202148-87-6,
cas,165800-52-2,
cas,98903-76-5,
cas,89958-31-6,
cas,9001-01-5,
cas,68911-60-4,
cas,97659-43-3,
cas,9000-01-5,
cas,90387-99-8,
cas,455885-22-0,
cas,1542151-07-4,
cas,84696-12-8,
cas,90320-09-5,
cas,90063-87-9,
cas,90063-88-0,
cas,91770-22-8,
cas,75-07-0,
cas,105-57-7,
cas,122-71-4,
cas,105-82-8,
cas,28069-74-1,
cas,60763-40-8,
cas,54484-73-0,
cas,84029-92-5,
cas,40910-49-4,
cas,7493-57-4,
cas,142-26-7,
cas,57-08-9,
cas,221375-78-6,
cas,118974-46-2,
cas,167614-36-0,
cas,1190427-41-8,
cas,123776-56-7,
cas,2411061-75-9,
cas,103-90-2,
cas,118-57-0,
cas,103-84-4,
cas,64-19-7,
cas,221139-79-3,
cas,513-86-0,
cas,67-64-1,
cas,110-13-4,
cas,98-86-2,
cas,4362-22-5,
cas,25398-55-4,
cas,61630-32-8,
cas,216698-07-6,
cas,90132-02-8,
cas,210545-23-6,
cas,997-55-7,
cas,307976-92-7,
cas,5968-70-7,
cas,14992-62-2,
cas,5080-50-2,
cas,56353-15-2,
cas,616-91-1,
cas,2361055-93-6,
cas,135304-07-3,
cas,1811-31-0,
cas,10036-64-3,
cas,1188-37-0,
cas,2490-97-3,
cas,235433-29-1,
cas,1016788-34-3,
cas,15323-35-0,
cas,1506-02-1 / 21145-77-7,
cas,616204-22-9,
cas,2407-02-1 / 39145-52-3,
cas,33996-33-7,
cas,32181-59-2,
cas,51019-43-3 / 7322-88-5,
cas,1115-47-5 / 65-82-7,
cas,1215711-91-3,
cas,68-95-1,
cas,1395088-14-8,
cas,77-90-7,
cas,77-89-4,
cas,144-15-0,
cas,379685-96-8,
cas,24817-92-3,
cas,1218-34-4,
cas,"1948-71-6,10048-92-7",
cas,537-55-3,
cas,30881-23-3,
cas,84929-62-4,
cas,221378-54-7,
cas,22613-51-0,
cas,736150-63-3,
cas,92113-20-7,
cas,165800-53-3,
cas,91053-41-7,
cas,93572-31-7,
cas,68990-58-9,
cas,91723-32-9,
cas,174333-76-7,
cas,61788-48-5,
cas,61788-49-6,
cas,226995-78-4,
cas,68990-55-6,
cas,91744-63-7,
cas,121684-92-2,
cas,1646-26-0,
cas,32388-55-9,
cas,1670-46-8,
cas,1227280-36-5,
cas,68140-48-7,
cas,227200-23-9,
cas,131-48-6,
cas,50-78-2,
cas,84082-83-7,
cas,8022-07-9 / 84082-83-7,
cas,85085-69-4,
cas,92346-81-1,
cas,12219-01-1,
cas,5610-64-0,
cas,129-17-9,
cas,3536-49-0,
cas,4368-56-3,
cas,860-22-0,
cas,16521-38-3,
cas,3844-45-9,
cas,68921-42-6,
cas,2650-18-2 / 6371-85-3 / 37307-56-5,
cas,6373-79-1,
cas,19381-50-1,
cas,1320-07-6 / 6371-84-2,
cas,6373-74-6,
cas,547-57-9,
cas,633-96-5,
cas,2611-82-7,
cas,12227-64-4,
cas,12220-24-5,
cas,915-67-3,
cas,12227-62-2,
cas,3567-66-6,
cas,6441-93-6,
cas,16423-68-0; 1342-25-2,
cas,3520-42-1,
cas,5413-75-2,
cas,17372-87-1; 548-26-5,
cas,18472-87-2,
cas,33239-19-9,
cas,4430-18-6,
cas,6252-76-2,
cas,846-70-8,
cas,1934-21-0,
cas,12225-21-7,
cas,38615-46-2/ 39354-67-1/ 8004-92-0,
cas,587-98-4,
cas,2321-07-5,
cas,518-47-8,
cas,84775-39-3,
cas,85480-47-3,
cas,91745-11-8,
cas,2331183-53-8,
cas,107-02-8,
cas,28349-72-6,
cas,1415551-71-1,
cas,79-06-1,
cas,26100-47-0,
cas,74153-51-8,
cas,94196-72-2,
cas,25085-02-3,
cas,38193-60-1,
cas,91313-01-8,
cas,45021-77-0,
cas,25133-97-5 / 25035-69-2 / 25212-88-8,
cas,888492-33-9,
cas,940912-27-6,
cas,67874-96-8,
cas,64771-95-5,
cas,68988-26-1,
cas,957645-61-3,
cas,129702-02-9,
cas,50657-38-0,
cas,1557087-30-5,
cas,75760-37-1,
cas,25067-02-1,
cas,26589-26-4,
cas,79-10-7,
cas,40623-75-4,
cas,61788-40-7,
cas,1820790-78-0,
